tempsort,Group,Item,ItemNumber,WordSense,PictureWord,PictureWord_lc,TargetPic,ShortPic,Xdim,Ydim
5,1,bar_sense1,1,metal bar,BAR,bar,https://github.com/lmcl-umd/PolyPWI/blob/main/PolyPWIPics/bar_sense1.png?raw=true,bar_sense1.png,400,400
53,2,bar_sense1,1,metal bar,BAR,bar,https://github.com/lmcl-umd/PolyPWI/blob/main/PolyPWIPics/bar_sense1.png?raw=true,bar_sense1.png,400,400
101,3,bar_sense1,1,metal bar,BAR,bar,https://github.com/lmcl-umd/PolyPWI/blob/main/PolyPWIPics/bar_sense1.png?raw=true,bar_sense1.png,400,400
149,4,bar_sense1,1,metal bar,BAR,bar,https://github.com/lmcl-umd/PolyPWI/blob/main/PolyPWIPics/bar_sense1.png?raw=true,bar_sense1.png,400,400
6,1,bar_sense2,2,drinking bar,BAR,bar,https://github.com/lmcl-umd/PolyPWI/blob/main/PolyPWIPics/bar_sense2.png?raw=true,bar_sense2.png,400,400
54,2,bar_sense2,2,drinking bar,BAR,bar,https://github.com/lmcl-umd/PolyPWI/blob/main/PolyPWIPics/bar_sense2.png?raw=true,bar_sense2.png,400,400
102,3,bar_sense2,2,drinking bar,BAR,bar,https://github.com/lmcl-umd/PolyPWI/blob/main/PolyPWIPics/bar_sense2.png?raw=true,bar_sense2.png,400,400
150,4,bar_sense2,2,drinking bar,BAR,bar,https://github.com/lmcl-umd/PolyPWI/blob/main/PolyPWIPics/bar_sense2.png?raw=true,bar_sense2.png,400,400
25,1,bill_sense1,3,dollar bill,BILL,bill,https://github.com/lmcl-umd/PolyPWI/blob/main/PolyPWIPics/bill_sense1.png?raw=true,bill_sense1.png,400,400
73,2,bill_sense1,3,dollar bill,BILL,bill,https://github.com/lmcl-umd/PolyPWI/blob/main/PolyPWIPics/bill_sense1.png?raw=true,bill_sense1.png,400,400
121,3,bill_sense1,3,dollar bill,BILL,bill,https://github.com/lmcl-umd/PolyPWI/blob/main/PolyPWIPics/bill_sense1.png?raw=true,bill_sense1.png,400,400
169,4,bill_sense1,3,dollar bill,BILL,bill,https://github.com/lmcl-umd/PolyPWI/blob/main/PolyPWIPics/bill_sense1.png?raw=true,bill_sense1.png,400,400
26,1,bill_sense2,4,water bill,BILL,bill,https://github.com/lmcl-umd/PolyPWI/blob/main/PolyPWIPics/bill_sense2.png?raw=true,bill_sense2.png,400,400
74,2,bill_sense2,4,water bill,BILL,bill,https://github.com/lmcl-umd/PolyPWI/blob/main/PolyPWIPics/bill_sense2.png?raw=true,bill_sense2.png,400,400
122,3,bill_sense2,4,water bill,BILL,bill,https://github.com/lmcl-umd/PolyPWI/blob/main/PolyPWIPics/bill_sense2.png?raw=true,bill_sense2.png,400,400
170,4,bill_sense2,4,water bill,BILL,bill,https://github.com/lmcl-umd/PolyPWI/blob/main/PolyPWIPics/bill_sense2.png?raw=true,bill_sense2.png,400,400
13,1,bow_sense1,5,decorative bow,BOW,bow,https://github.com/lmcl-umd/PolyPWI/blob/main/PolyPWIPics/bow_sense1.jpg?raw=true,bow_sense1.jpg,400,400
61,2,bow_sense1,5,decorative bow,BOW,bow,https://github.com/lmcl-umd/PolyPWI/blob/main/PolyPWIPics/bow_sense1.jpg?raw=true,bow_sense1.jpg,400,400
109,3,bow_sense1,5,decorative bow,BOW,bow,https://github.com/lmcl-umd/PolyPWI/blob/main/PolyPWIPics/bow_sense1.jpg?raw=true,bow_sense1.jpg,400,400
157,4,bow_sense1,5,decorative bow,BOW,bow,https://github.com/lmcl-umd/PolyPWI/blob/main/PolyPWIPics/bow_sense1.jpg?raw=true,bow_sense1.jpg,400,400
14,1,bow_sense2,6,hunting bow,BOW,bow,https://github.com/lmcl-umd/PolyPWI/blob/main/PolyPWIPics/bow_sense2.jpg?raw=true,bow_sense2.jpg,400,400
62,2,bow_sense2,6,hunting bow,BOW,bow,https://github.com/lmcl-umd/PolyPWI/blob/main/PolyPWIPics/bow_sense2.jpg?raw=true,bow_sense2.jpg,400,400
110,3,bow_sense2,6,hunting bow,BOW,bow,https://github.com/lmcl-umd/PolyPWI/blob/main/PolyPWIPics/bow_sense2.jpg?raw=true,bow_sense2.jpg,400,400
158,4,bow_sense2,6,hunting bow,BOW,bow,https://github.com/lmcl-umd/PolyPWI/blob/main/PolyPWIPics/bow_sense2.jpg?raw=true,bow_sense2.jpg,400,400
1,1,cell_sense1,7,biological cell,CELL,cell,https://github.com/lmcl-umd/PolyPWI/blob/main/PolyPWIPics/cell_sense1.png?raw=true,cell_sense1.png,400,400
49,2,cell_sense1,7,biological cell,CELL,cell,https://github.com/lmcl-umd/PolyPWI/blob/main/PolyPWIPics/cell_sense1.png?raw=true,cell_sense1.png,400,400
97,3,cell_sense1,7,biological cell,CELL,cell,https://github.com/lmcl-umd/PolyPWI/blob/main/PolyPWIPics/cell_sense1.png?raw=true,cell_sense1.png,400,400
145,4,cell_sense1,7,biological cell,CELL,cell,https://github.com/lmcl-umd/PolyPWI/blob/main/PolyPWIPics/cell_sense1.png?raw=true,cell_sense1.png,400,400
2,1,cell_sense2,8,prison cell,CELL,cell,https://github.com/lmcl-umd/PolyPWI/blob/main/PolyPWIPics/cell_sense2.png?raw=true,cell_sense2.png,400,400
50,2,cell_sense2,8,prison cell,CELL,cell,https://github.com/lmcl-umd/PolyPWI/blob/main/PolyPWIPics/cell_sense2.png?raw=true,cell_sense2.png,400,400
98,3,cell_sense2,8,prison cell,CELL,cell,https://github.com/lmcl-umd/PolyPWI/blob/main/PolyPWIPics/cell_sense2.png?raw=true,cell_sense2.png,400,400
146,4,cell_sense2,8,prison cell,CELL,cell,https://github.com/lmcl-umd/PolyPWI/blob/main/PolyPWIPics/cell_sense2.png?raw=true,cell_sense2.png,400,400
46,1,cream_sense1,9,dairy cream,CREAM,cream,https://github.com/lmcl-umd/PolyPWI/blob/main/PolyPWIPics/cream_sense1.png?raw=true,cream_sense1.png,400,400
94,2,cream_sense1,9,dairy cream,CREAM,cream,https://github.com/lmcl-umd/PolyPWI/blob/main/PolyPWIPics/cream_sense1.png?raw=true,cream_sense1.png,400,400
142,3,cream_sense1,9,dairy cream,CREAM,cream,https://github.com/lmcl-umd/PolyPWI/blob/main/PolyPWIPics/cream_sense1.png?raw=true,cream_sense1.png,400,400
190,4,cream_sense1,9,dairy cream,CREAM,cream,https://github.com/lmcl-umd/PolyPWI/blob/main/PolyPWIPics/cream_sense1.png?raw=true,cream_sense1.png,400,400
29,1,date_sense1,10,a date on the calendar,DATE,date,https://github.com/lmcl-umd/PolyPWI/blob/main/PolyPWIPics/date_sense1.png?raw=true,date_sense1.png,400,400
77,2,date_sense1,10,a date on the calendar,DATE,date,https://github.com/lmcl-umd/PolyPWI/blob/main/PolyPWIPics/date_sense1.png?raw=true,date_sense1.png,400,400
125,3,date_sense1,10,a date on the calendar,DATE,date,https://github.com/lmcl-umd/PolyPWI/blob/main/PolyPWIPics/date_sense1.png?raw=true,date_sense1.png,400,400
173,4,date_sense1,10,a date on the calendar,DATE,date,https://github.com/lmcl-umd/PolyPWI/blob/main/PolyPWIPics/date_sense1.png?raw=true,date_sense1.png,400,400
30,1,date_sense2,11,a date in the sense of a meeting with someone,DATE,date,https://github.com/lmcl-umd/PolyPWI/blob/main/PolyPWIPics/date_sense2.png?raw=true,date_sense2.png,400,400
78,2,date_sense2,11,a date in the sense of a meeting with someone,DATE,date,https://github.com/lmcl-umd/PolyPWI/blob/main/PolyPWIPics/date_sense2.png?raw=true,date_sense2.png,400,400
126,3,date_sense2,11,a date in the sense of a meeting with someone,DATE,date,https://github.com/lmcl-umd/PolyPWI/blob/main/PolyPWIPics/date_sense2.png?raw=true,date_sense2.png,400,400
174,4,date_sense2,11,a date in the sense of a meeting with someone,DATE,date,https://github.com/lmcl-umd/PolyPWI/blob/main/PolyPWIPics/date_sense2.png?raw=true,date_sense2.png,400,400
3,1,fan_sense1,12,hand fan,FAN,fan,https://github.com/lmcl-umd/PolyPWI/blob/main/PolyPWIPics/fan_sense1.png?raw=true,fan_sense1.png,400,400
51,2,fan_sense1,12,hand fan,FAN,fan,https://github.com/lmcl-umd/PolyPWI/blob/main/PolyPWIPics/fan_sense1.png?raw=true,fan_sense1.png,400,400
99,3,fan_sense1,12,hand fan,FAN,fan,https://github.com/lmcl-umd/PolyPWI/blob/main/PolyPWIPics/fan_sense1.png?raw=true,fan_sense1.png,400,400
147,4,fan_sense1,12,hand fan,FAN,fan,https://github.com/lmcl-umd/PolyPWI/blob/main/PolyPWIPics/fan_sense1.png?raw=true,fan_sense1.png,400,400
4,1,fan_sense2,13,sports fan,FAN,fan,https://github.com/lmcl-umd/PolyPWI/blob/main/PolyPWIPics/fan_sense2.png?raw=true,fan_sense2.png,400,400
52,2,fan_sense2,13,sports fan,FAN,fan,https://github.com/lmcl-umd/PolyPWI/blob/main/PolyPWIPics/fan_sense2.png?raw=true,fan_sense2.png,400,400
100,3,fan_sense2,13,sports fan,FAN,fan,https://github.com/lmcl-umd/PolyPWI/blob/main/PolyPWIPics/fan_sense2.png?raw=true,fan_sense2.png,400,400
148,4,fan_sense2,13,sports fan,FAN,fan,https://github.com/lmcl-umd/PolyPWI/blob/main/PolyPWIPics/fan_sense2.png?raw=true,fan_sense2.png,400,400
27,1,glass_sense1,14,material glass,GLASS,glass,https://github.com/lmcl-umd/PolyPWI/blob/main/PolyPWIPics/glass_sense1.png?raw=true,glass_sense1.png,400,400
75,2,glass_sense1,14,material glass,GLASS,glass,https://github.com/lmcl-umd/PolyPWI/blob/main/PolyPWIPics/glass_sense1.png?raw=true,glass_sense1.png,400,400
123,3,glass_sense1,14,material glass,GLASS,glass,https://github.com/lmcl-umd/PolyPWI/blob/main/PolyPWIPics/glass_sense1.png?raw=true,glass_sense1.png,400,400
171,4,glass_sense1,14,material glass,GLASS,glass,https://github.com/lmcl-umd/PolyPWI/blob/main/PolyPWIPics/glass_sense1.png?raw=true,glass_sense1.png,400,400
28,1,glass_sense2,15,drinking glass,GLASS,glass,https://github.com/lmcl-umd/PolyPWI/blob/main/PolyPWIPics/glass_sense2.jpg?raw=true,glass_sense2.jpg,400,400
76,2,glass_sense2,15,drinking glass,GLASS,glass,https://github.com/lmcl-umd/PolyPWI/blob/main/PolyPWIPics/glass_sense2.jpg?raw=true,glass_sense2.jpg,400,400
124,3,glass_sense2,15,drinking glass,GLASS,glass,https://github.com/lmcl-umd/PolyPWI/blob/main/PolyPWIPics/glass_sense2.jpg?raw=true,glass_sense2.jpg,400,400
172,4,glass_sense2,15,drinking glass,GLASS,glass,https://github.com/lmcl-umd/PolyPWI/blob/main/PolyPWIPics/glass_sense2.jpg?raw=true,glass_sense2.jpg,400,400
41,1,grain_sense2,16,whole grain,GRAIN,grain,https://github.com/lmcl-umd/PolyPWI/blob/main/PolyPWIPics/grain_sense2.jpg?raw=true,grain_sense2.jpg,400,400
89,2,grain_sense2,16,whole grain,GRAIN,grain,https://github.com/lmcl-umd/PolyPWI/blob/main/PolyPWIPics/grain_sense2.jpg?raw=true,grain_sense2.jpg,400,400
137,3,grain_sense2,16,whole grain,GRAIN,grain,https://github.com/lmcl-umd/PolyPWI/blob/main/PolyPWIPics/grain_sense2.jpg?raw=true,grain_sense2.jpg,400,400
185,4,grain_sense2,16,whole grain,GRAIN,grain,https://github.com/lmcl-umd/PolyPWI/blob/main/PolyPWIPics/grain_sense2.jpg?raw=true,grain_sense2.jpg,400,400
43,1,hand_sense1,17,anatomical hand,HAND,hand,https://github.com/lmcl-umd/PolyPWI/blob/main/PolyPWIPics/hand_sense1.jpg?raw=true,hand_sense1.jpg,400,400
91,2,hand_sense1,17,anatomical hand,HAND,hand,https://github.com/lmcl-umd/PolyPWI/blob/main/PolyPWIPics/hand_sense1.jpg?raw=true,hand_sense1.jpg,400,400
139,3,hand_sense1,17,anatomical hand,HAND,hand,https://github.com/lmcl-umd/PolyPWI/blob/main/PolyPWIPics/hand_sense1.jpg?raw=true,hand_sense1.jpg,400,400
187,4,hand_sense1,17,anatomical hand,HAND,hand,https://github.com/lmcl-umd/PolyPWI/blob/main/PolyPWIPics/hand_sense1.jpg?raw=true,hand_sense1.jpg,400,400
48,1,nail_sense2,18,finger nail,NAIL,nail,https://github.com/lmcl-umd/PolyPWI/blob/main/PolyPWIPics/nail_sense2.jpg?raw=true,nail_sense2.jpg,400,400
96,2,nail_sense2,18,finger nail,NAIL,nail,https://github.com/lmcl-umd/PolyPWI/blob/main/PolyPWIPics/nail_sense2.jpg?raw=true,nail_sense2.jpg,400,400
144,3,nail_sense2,18,finger nail,NAIL,nail,https://github.com/lmcl-umd/PolyPWI/blob/main/PolyPWIPics/nail_sense2.jpg?raw=true,nail_sense2.jpg,400,400
192,4,nail_sense2,18,finger nail,NAIL,nail,https://github.com/lmcl-umd/PolyPWI/blob/main/PolyPWIPics/nail_sense2.jpg?raw=true,nail_sense2.jpg,400,400
33,1,note_sense1,19,musical note,NOTE,note,https://github.com/lmcl-umd/PolyPWI/blob/main/PolyPWIPics/note_sense1.png?raw=true,note_sense1.png,400,400
81,2,note_sense1,19,musical note,NOTE,note,https://github.com/lmcl-umd/PolyPWI/blob/main/PolyPWIPics/note_sense1.png?raw=true,note_sense1.png,400,400
129,3,note_sense1,19,musical note,NOTE,note,https://github.com/lmcl-umd/PolyPWI/blob/main/PolyPWIPics/note_sense1.png?raw=true,note_sense1.png,400,400
177,4,note_sense1,19,musical note,NOTE,note,https://github.com/lmcl-umd/PolyPWI/blob/main/PolyPWIPics/note_sense1.png?raw=true,note_sense1.png,400,400
34,1,note_sense2,20,written note,NOTE,note,https://github.com/lmcl-umd/PolyPWI/blob/main/PolyPWIPics/note_sense2.jpg?raw=true,note_sense2.jpg,400,400
82,2,note_sense2,20,written note,NOTE,note,https://github.com/lmcl-umd/PolyPWI/blob/main/PolyPWIPics/note_sense2.jpg?raw=true,note_sense2.jpg,400,400
130,3,note_sense2,20,written note,NOTE,note,https://github.com/lmcl-umd/PolyPWI/blob/main/PolyPWIPics/note_sense2.jpg?raw=true,note_sense2.jpg,400,400
178,4,note_sense2,20,written note,NOTE,note,https://github.com/lmcl-umd/PolyPWI/blob/main/PolyPWIPics/note_sense2.jpg?raw=true,note_sense2.jpg,400,400
44,1,paper_sense1,21,material paper,PAPER,paper,https://github.com/lmcl-umd/PolyPWI/blob/main/PolyPWIPics/paper_sense1.jpg?raw=true,paper_sense1.jpg,400,400
92,2,paper_sense1,21,material paper,PAPER,paper,https://github.com/lmcl-umd/PolyPWI/blob/main/PolyPWIPics/paper_sense1.jpg?raw=true,paper_sense1.jpg,400,400
140,3,paper_sense1,21,material paper,PAPER,paper,https://github.com/lmcl-umd/PolyPWI/blob/main/PolyPWIPics/paper_sense1.jpg?raw=true,paper_sense1.jpg,400,400
188,4,paper_sense1,21,material paper,PAPER,paper,https://github.com/lmcl-umd/PolyPWI/blob/main/PolyPWIPics/paper_sense1.jpg?raw=true,paper_sense1.jpg,400,400
15,1,pen_sense1,22,writing pen,PEN,pen,https://github.com/lmcl-umd/PolyPWI/blob/main/PolyPWIPics/pen_sense1.jpg?raw=true,pen_sense1.jpg,400,400
63,2,pen_sense1,22,writing pen,PEN,pen,https://github.com/lmcl-umd/PolyPWI/blob/main/PolyPWIPics/pen_sense1.jpg?raw=true,pen_sense1.jpg,400,400
111,3,pen_sense1,22,writing pen,PEN,pen,https://github.com/lmcl-umd/PolyPWI/blob/main/PolyPWIPics/pen_sense1.jpg?raw=true,pen_sense1.jpg,400,400
159,4,pen_sense1,22,writing pen,PEN,pen,https://github.com/lmcl-umd/PolyPWI/blob/main/PolyPWIPics/pen_sense1.jpg?raw=true,pen_sense1.jpg,400,400
16,1,pen_sense2,23,pig pen,PEN,pen,https://github.com/lmcl-umd/PolyPWI/blob/main/PolyPWIPics/pen_sense2.png?raw=true,pen_sense2.png,400,400
64,2,pen_sense2,23,pig pen,PEN,pen,https://github.com/lmcl-umd/PolyPWI/blob/main/PolyPWIPics/pen_sense2.png?raw=true,pen_sense2.png,400,400
112,3,pen_sense2,23,pig pen,PEN,pen,https://github.com/lmcl-umd/PolyPWI/blob/main/PolyPWIPics/pen_sense2.png?raw=true,pen_sense2.png,400,400
160,4,pen_sense2,23,pig pen,PEN,pen,https://github.com/lmcl-umd/PolyPWI/blob/main/PolyPWIPics/pen_sense2.png?raw=true,pen_sense2.png,400,400
17,1,plant_sense1,24,forest plant,PLANT,plant,https://github.com/lmcl-umd/PolyPWI/blob/main/PolyPWIPics/plant_sense1.jpg?raw=true,plant_sense1.jpg,400,400
65,2,plant_sense1,24,forest plant,PLANT,plant,https://github.com/lmcl-umd/PolyPWI/blob/main/PolyPWIPics/plant_sense1.jpg?raw=true,plant_sense1.jpg,400,400
113,3,plant_sense1,24,forest plant,PLANT,plant,https://github.com/lmcl-umd/PolyPWI/blob/main/PolyPWIPics/plant_sense1.jpg?raw=true,plant_sense1.jpg,400,400
161,4,plant_sense1,24,forest plant,PLANT,plant,https://github.com/lmcl-umd/PolyPWI/blob/main/PolyPWIPics/plant_sense1.jpg?raw=true,plant_sense1.jpg,400,400
18,1,plant_sense2,25,power plant,PLANT,plant,https://github.com/lmcl-umd/PolyPWI/blob/main/PolyPWIPics/plant_sense2.png?raw=true,plant_sense2.png,400,400
66,2,plant_sense2,25,power plant,PLANT,plant,https://github.com/lmcl-umd/PolyPWI/blob/main/PolyPWIPics/plant_sense2.png?raw=true,plant_sense2.png,400,400
